algo,family,dist,n,comparisons,moves,swaps
std_stable_sort,nlogn,random,1024,9973,13531,0
std_stable_sort,nlogn,random,4096,48326,62353,0
std_stable_sort,nlogn,sorted,256,1278,2357,0
std_stable_sort,nlogn,sorted,1024,6142,11481,0
std_stable_sort,nlogn,sorted,4096,28668,54125,0
std_stable_sort,nlogn,reversed,256,844,3243,0
std_stable_sort,nlogn,reversed,1024,4390,15059,0
std_stable_sort,nlogn,reversed,4096,21654,68449,0
std_stable_sort,nlogn,nearly_sorted,256,1280,2359,0
std_stable_sort,nlogn,nearly_sorted,1024,6150,11491,0
std_stable_sort,nlogn,nearly_sorted,4096,28690,54156,0
std_stable_sort,nlogn,few_unique,256,1978,2785,0
std_stable_sort,nlogn,few_unique,1024,9779,13322,0
std_stable_sort,nlogn,few_unique,4096,47326,61548,0
counting,linear,random,256,0,512,0
counting,linear,random,1024,0,2048,0
counting,linear,random,4096,0,8192,0
counting,linear,sorted,256,0,512,0
counting,linear,sorted,1024,0,2048,0
counting,linear,sorted,4096,0,8192,0
counting,linear,reversed,256,0,512,0
counting,linear,reversed,1024,0,2048,0
counting,linear,reversed,4096,0,8192,0
counting,linear,nearly_sorted,256,0,512,0
counting,linear,nearly_sorted,1024,0,2048,0
counting,linear,nearly_sorted,4096,0,8192,0
counting,linear,few_unique,256,0,512,0
counting,linear,few_unique,1024,0,2048,0
counting,linear,few_unique,4096,0,8192,0
radix,linear,random,256,0,512,0
radix,linear,random,1024,0,4096,0
radix,linear,random,4096,0,16384,0
radix,linear,sorted,256,0,512,0
radix,linear,sorted,1024,0,4096,0
radix,linear,sorted,4096,0,16384,0
radix,linear,reversed,256,0,512,0
radix,linear,reversed,1024,0,4096,0
radix,linear,reversed,4096,0,16384,0
radix,linear,nearly_sorted,256,0,512,0
radix,linear,nearly_sorted,1024,0,4096,0
radix,linear,nearly_sorted,4096,0,16384,0
radix,linear,few_unique,256,0,512,0
radix,linear,few_unique,1024,0,2048,0
radix,linear,few_unique,4096,0,8192,0
bucket,linear,random,256,97,821,0
bucket,linear,random,1024,368,3217,0
bucket,linear,random,4096,1524,13074,0
bucket,linear,sorted,256,0,512,0
bucket,linear,sorted,1024,0,2048,0
bucket,linear,sorted,4096,0,8192,0
bucket,linear,reversed,256,0,512,0
bucket,linear,reversed,1024,0,2048,0
bucket,linear,reversed,4096,0,8192,0
bucket,linear,nearly_sorted,256,0,512,0
bucket,linear,nearly_sorted,1024,0,2048,0
bucket,linear,nearly_sorted,4096,0,8192,0
bucket,linear,few_unique,256,246,1314,0
bucket,linear,few_unique,1024,1014,5346,0
bucket,linear,few_unique,4096,4086,21474,0
