algo,text,sweep,n,m,occurrences,pre_ops,text_reads,char_comparisons
naive,dna,m,1048576,32,1,0,1397515,1397515
kmp,dna,m,1048576,32,1,40,1293436,1293436
bmh,dna,m,1048576,32,1,31,328475,328475
rabin_karp,dna,m,1048576,32,1,63,2097152,32
naive,dna,m,1048576,64,1,0,1398720,1398720
kmp,dna,m,1048576,64,1,76,1310275,1310275
bmh,dna,m,1048576,64,1,63,535757,535757
rabin_karp,dna,m,1048576,64,1,127,2097152,64
naive,dna,m,1048576,128,1,0,1398630,1398630
kmp,dna,m,1048576,128,1,160,1309621,1309621
bmh,dna,m,1048576,128,1,127,311924,311924
rabin_karp,dna,m,1048576,128,1,255,2097152,128
naive,dna,m,1048576,256,1,0,1397595,1397595
kmp,dna,m,1048576,256,1,318,1310315,1310315
bmh,dna,m,1048576,256,1,255,396174,396174
rabin_karp,dna,m,1048576,256,1,511,2097152,256
naive,dna,m,1048576,512,1,0,1397882,1397882
kmp,dna,m,1048576,512,1,641,1309526,1309526
bmh,dna,m,1048576,512,1,511,456077,456077
rabin_karp,dna,m,1048576,512,1,1023,2097152,512
naive,dna,m,1048576,1024,1,0,1398395,1398395
kmp,dna,m,1048576,1024,1,1253,1310051,1310051
bmh,dna,m,1048576,1024,1,1023,492267,492267
rabin_karp,dna,m,1048576,1024,1,2047,2097152,1024
naive,ascii,m,1048576,4,1,0,1059694,1059694
kmp,ascii,m,1048576,4,1,3,1059598,1059598
bmh,ascii,m,1048576,4,1,3,269217,269217
rabin_karp,ascii,m,1048576,4,1,7,2097152,4
naive,ascii,m,1048576,8,1,0,1059761,1059761
kmp,ascii,m,1048576,8,1,7,1059606,1059606
bmh,ascii,m,1048576,8,1,7,137048,137048
rabin_karp,ascii,m,1048576,8,1,15,2097152,8
naive,ascii,m,1048576,16,1,0,1059827,1059827
kmp,ascii,m,1048576,16,1,15,1059706,1059706
bmh,ascii,m,1048576,16,1,15,71306,71306
rabin_karp,ascii,m,1048576,16,1,31,2097152,16
naive,ascii,m,1048576,32,1,0,1059890,1059890
kmp,ascii,m,1048576,32,1,31,1059789,1059789
bmh,ascii,m,1048576,32,1,31,38994,38994
rabin_karp,ascii,m,1048576,32,1,63,2097152,32
naive,ascii,m,1048576,64,1,0,1059622,1059622
kmp,ascii,m,1048576,64,1,63,1059506,1059506
bmh,ascii,m,1048576,64,1,63,22754,22754
rabin_karp,ascii,m,1048576,64,1,127,2097152,64
naive,ascii,m,1048576,128,1,0,1059809,1059809
kmp,ascii,m,1048576,128,1,128,1059695,1059695
bmh,ascii,m,1048576,128,1,127,15103,15103
rabin_karp,ascii,m,1048576,128,1,255,2097152,128
naive,ascii,m,1048576,256,1,0,1059560,1059560
kmp,ascii,m,1048576,256,1,258,1059439,1059439
bmh,ascii,m,1048576,256,1,255,11936,11936
rabin_karp,ascii,m,1048576,256,1,511,2097152,256
naive,ascii,m,1048576,512,1,0,1059705,1059705
kmp,ascii,m,1048576,512,1,520,1059591,1059591
bmh,ascii,m,1048576,512,1,511,10948,10948
rabin_karp,ascii,m,1048576,512,1,1023,2097152,512
naive,ascii,m,1048576,1024,1,0,1059546,1059546
kmp,ascii,m,1048576,1024,1,1035,1059447,1059447
bmh,ascii,m,1048576,1024,1,1023,11961,11961
rabin_karp,ascii,m,1048576,1024,1,2047,2097153,1025
naive,english,m,1048576,4,2092,0,1215429,1215429
kmp,english,m,1048576,4,2092,3,1137065,1137065
bmh,english,m,1048576,4,2092,3,359895,359895
rabin_karp,english,m,1048576,4,2092,7,2105516,8368
naive,english,m,1048576,8,257,0,1182514,1182514
kmp,english,m,1048576,8,257,7,1122345,1122345
bmh,english,m,1048576,8,257,7,347987,347987
rabin_karp,english,m,1048576,8,257,15,2099200,2056
naive,english,m,1048576,16,3,0,1117015,1117015
kmp,english,m,1048576,16,3,15,1098382,1098382
bmh,english,m,1048576,16,3,15,235828,235828
rabin_karp,english,m,1048576,16,3,31,2097184,48
naive,english,m,1048576,32,1,0,1184078,1184078
kmp,english,m,1048576,32,1,34,1122354,1122354
bmh,english,m,1048576,32,1,31,102820,102820
rabin_karp,english,m,1048576,32,1,63,2097152,32
naive,english,m,1048576,64,1,0,1165045,1165045
kmp,english,m,1048576,64,1,71,1122099,1122099
bmh,english,m,1048576,64,1,63,60539,60539
rabin_karp,english,m,1048576,64,1,127,2097152,64
naive,english,m,1048576,128,1,0,1132665,1132665
kmp,english,m,1048576,128,1,131,1123203,1123203
bmh,english,m,1048576,128,1,127,66009,66009
rabin_karp,english,m,1048576,128,1,255,2097152,128
naive,english,m,1048576,256,1,0,1125758,1125758
kmp,english,m,1048576,256,1,264,1105857,1105857
bmh,english,m,1048576,256,1,255,64099,64099
