algo,family,dist,n,repeats,median_ms
merge,nlogn,reversed,4096,5,0.065178
merge,nlogn,reversed,16384,5,0.276677
merge,nlogn,reversed,32768,5,0.610186
merge,nlogn,reversed,65536,5,1.25137
merge,nlogn,reversed,262144,5,5.731637
merge,nlogn,reversed,1048576,5,25.656456
merge,nlogn,nearly_sorted,256,5,0.00316
merge,nlogn,nearly_sorted,1024,5,0.01424
merge,nlogn,nearly_sorted,4096,5,0.062535
merge,nlogn,nearly_sorted,16384,5,0.284384
merge,nlogn,nearly_sorted,32768,5,0.613786
merge,nlogn,nearly_sorted,65536,5,1.297029
merge,nlogn,nearly_sorted,262144,5,5.526775
merge,nlogn,nearly_sorted,1048576,5,25.480606
merge,nlogn,few_unique,256,5,0.004987
merge,nlogn,few_unique,1024,5,0.025375
merge,nlogn,few_unique,4096,5,0.12482
merge,nlogn,few_unique,16384,5,0.575429
merge,nlogn,few_unique,32768,5,1.164551
merge,nlogn,few_unique,65536,5,2.447675
merge,nlogn,few_unique,262144,5,10.321501
merge,nlogn,few_unique,1048576,5,45.601898
quick,nlogn,random,256,5,0.003236
quick,nlogn,random,1024,5,0.023745
quick,nlogn,random,4096,5,0.125789
quick,nlogn,random,16384,5,0.575386
quick,nlogn,random,32768,5,1.243736
quick,nlogn,random,65536,5,2.629846
quick,nlogn,random,262144,5,11.751954
quick,nlogn,random,1048576,5,51.529818
quick,nlogn,sorted,256,5,0.000836
quick,nlogn,sorted,1024,5,0.003582
quick,nlogn,sorted,4096,5,0.015174
quick,nlogn,sorted,16384,5,0.059255
quick,nlogn,sorted,32768,5,0.121391
quick,nlogn,sorted,65536,5,0.252102
quick,nlogn,sorted,262144,5,1.083562
quick,nlogn,sorted,1048576,5,4.70854
quick,nlogn,reversed,256,5,0.002329
quick,nlogn,reversed,1024,5,0.021551
quick,nlogn,reversed,4096,5,0.288855
quick,nlogn,reversed,16384,5,4.285637
quick,nlogn,reversed,32768,5,16.927929
quick,nlogn,reversed,65536,5,70.030291
quick,nlogn,reversed,262144,5,1162.3772
quick,nlogn,reversed,1048576,5,19981.833
quick,nlogn,nearly_sorted,256,5,0.000782
quick,nlogn,nearly_sorted,1024,5,0.003284
quick,nlogn,nearly_sorted,4096,5,0.013807
quick,nlogn,nearly_sorted,16384,5,0.061954
quick,nlogn,nearly_sorted,32768,5,0.124178
quick,nlogn,nearly_sorted,65536,5,0.27481
quick,nlogn,nearly_sorted,262144,5,1.24191
quick,nlogn,nearly_sorted,1048576,5,4.899687
quick,nlogn,few_unique,256,5,0.001578
quick,nlogn,few_unique,1024,5,0.008137
quick,nlogn,few_unique,4096,5,0.047429
quick,nlogn,few_unique,16384,5,0.196512
quick,nlogn,few_unique,32768,5,0.398452
quick,nlogn,few_unique,65536,5,0.820835
quick,nlogn,few_unique,262144,5,3.408722
quick,nlogn,few_unique,1048576,5,13.895611
heap,nlogn,random,256,5,0.004031
heap,nlogn,random,1024,5,0.035068
heap,nlogn,random,4096,5,0.16462
heap,nlogn,random,16384,5,0.782532
heap,nlogn,random,32768,5,1.67698
heap,nlogn,random,65536,5,3.651941
heap,nlogn,random,262144,5,16.615723
heap,nlogn,random,1048576,5,77.211479
heap,nlogn,sorted,256,5,0.003603
heap,nlogn,sorted,1024,5,0.025663
heap,nlogn,sorted,4096,5,0.115837
heap,nlogn,sorted,16384,5,0.48561
heap,nlogn,sorted,32768,5,0.958177
heap,nlogn,sorted,65536,5,1.882184
heap,nlogn,sorted,262144,5,7.840362
heap,nlogn,sorted,1048576,5,31.963477
heap,nlogn,reversed,256,5,0.002766
heap,nlogn,reversed,1024,5,0.023357
heap,nlogn,reversed,4096,5,0.117341
heap,nlogn,reversed,16384,5,0.487951
heap,nlogn,reversed,32768,5,1.006378
heap,nlogn,reversed,65536,5,1.992333
heap,nlogn,reversed,262144,5,8.257692
heap,nlogn,reversed,1048576,5,34.441696
heap,nlogn,nearly_sorted,256,5,0.003755
heap,nlogn,nearly_sorted,1024,5,0.028632
heap,nlogn,nearly_sorted,4096,5,0.120122
heap,nlogn,nearly_sorted,16384,5,0.475482
heap,nlogn,nearly_sorted,32768,5,0.94003
heap,nlogn,nearly_sorted,65536,5,1.894237
heap,nlogn,nearly_sorted,262144,5,7.784072
heap,nlogn,nearly_sorted,1048576,5,32.101586
heap,nlogn,few_unique,256,5,0.003839
heap,nlogn,few_unique,1024,5,0.027242
heap,nlogn,few_unique,4096,5,0.137742
heap,nlogn,few_unique,16384,5,0.551501
heap,nlogn,few_unique,32768,5,1.123987
heap,nlogn,few_unique,65536,5,2.182715
heap,nlogn,few_unique,262144,5,8.733533
heap,nlogn,few_unique,1048576,5,35.511826
std_sort,nlogn,random,256,5,0.002283
std_sort,nlogn,random,1024,5,0.022886
std_sort,nlogn,random,4096,5,0.110974
std_sort,nlogn,random,16384,5,0.518444
std_sort,nlogn,random,32768,5,1.147295
std_sort,nlogn,random,65536,5,2.429596
std_sort,nlogn,random,262144,5,11.031503
std_sort,nlogn,random,1048576,5,49.191182
std_sort,nlogn,sorted,256,5,0.000609
std_sort,nlogn,sorted,1024,5,0.002515
std_sort,nlogn,sorted,4096,5,0.011414
std_sort,nlogn,sorted,16384,5,0.047118
std_sort,nlogn,sorted,32768,5,0.09962
std_sort,nlogn,sorted,65536,5,0.210506
std_sort,nlogn,sorted,262144,5,0.946819
std_sort,nlogn,sorted,1048576,5,4.36473
std_sort,nlogn,reversed,256,5,0.000411
std_sort,nlogn,reversed,1024,5,0.001836
std_sort,nlogn,reversed,4096,5,0.008304
std_sort,nlogn,reversed,16384,5,0.035417
std_sort,nlogn,reversed,32768,5,0.07453
std_sort,nlogn,reversed,65536,5,0.157099
std_sort,nlogn,reversed,262144,5,0.69595
std_sort,nlogn,reversed,1048576,5,3.133371
std_sort,nlogn,nearly_sorted,256,5,0.000502
std_sort,nlogn,nearly_sorted,1024,5,0.002403
std_sort,nlogn,nearly_sorted,4096,5,0.010951
std_sort,nlogn,nearly_sorted,16384,5,0.048218
std_sort,nlogn,nearly_sorted,32768,5,0.102447
std_sort,nlogn,nearly_sorted,65536,5,0.220151
std_sort,nlogn,nearly_sorted,262144,5,0.970985
std_sort,nlogn,nearly_sorted,1048576,5,4.375274
std_sort,nlogn,few_unique,256,5,0.001408
std_sort,nlogn,few_unique,1024,5,0.006901
std_sort,nlogn,few_unique,4096,5,0.047987
std_sort,nlogn,few_unique,16384,5,0.195227
std_sort,nlogn,few_unique,32768,5,0.400113
std_sort,nlogn,few_unique,65536,5,0.799947
std_sort,nlogn,few_unique,262144,5,3.170778
std_sort,nlogn,few_unique,1048576,5,13.248372
std_stable_sort,nlogn,random,256,5,0.001854
std_stable_sort,nlogn,random,1024,5,0.018269
std_stable_sort,nlogn,random,4096,5,0.116597
std_stable_sort,nlogn,random,16384,5,0.589943
std_stable_sort,nlogn,random,32768,5,1.292273
std_stable_sort,nlogn,random,65536,5,2.725874
std_stable_sort,nlogn,random,262144,5,12.608887
std_stable_sort,nlogn,random,1048576,5,56.259704
std_stable_sort,nlogn,sorted,256,5,0.000515
std_stable_sort,nlogn,sorted,1024,5,0.001896
std_stable_sort,nlogn,sorted,4096,5,0.007201
std_stable_sort,nlogn,sorted,16384,5,0.034219
std_stable_sort,nlogn,sorted,32768,5,0.072541
std_stable_sort,nlogn,sorted,65536,5,0.165384
std_stable_sort,nlogn,sorted,262144,5,0.792112
std_stable_sort,nlogn,sorted,1048576,5,3.966807
std_stable_sort,nlogn,reversed,256,5,0.001178
std_stable_sort,nlogn,reversed,1024,5,0.004674
std_stable_sort,nlogn,reversed,4096,5,0.017678
std_stable_sort,nlogn,reversed,16384,5,0.076915
std_stable_sort,nlogn,reversed,32768,5,0.159067
std_stable_sort,nlogn,reversed,65536,5,0.33763
std_stable_sort,nlogn,reversed,262144,5,1.437171
