Date,basket,etf,diff_bp,cum_diff_%
2025-07-01,0.008112054192752405,0.007664253686305411,-4.4780050644699365,-0.0444197155052839
2025-07-02,0.0173753126687739,0.017201069803549407,-1.7424286522449428,-0.06153881254558069
2025-07-03,0.0015505208334301024,0.0011503393324556743,-4.001815009744281,-0.10147042115759008
2025-07-07,-0.01012340115640753,-0.00965171144951582,4.716897068917092,-0.053867408629559854
2025-07-08,0.027597352705874156,0.026917075844020033,-6.802768618541233,-0.12003246954048752
2025-07-09,-0.005486855606443575,-0.00508416515430532,4.026904521382546,-0.07958985748339753
2025-07-10,0.007510117531728255,0.007608578541425048,0.9846100969679306,-0.06982492877374291
2025-07-11,0.004690944449971202,0.004507924044365952,-1.830204056052498,-0.08802879661466978
2025-07-14,-0.012150127265360244,-0.010995083864347222,11.550434010130228,0.028793269375193553
2025-07-15,-0.014154819566776888,-0.014407320966734138,-2.5250139995725007,0.003173211745588489
2025-07-16,-0.008668674912116647,-0.008632555818044563,0.3611909407208458,0.006816821030741771
2025-07-17,0.005927032419646094,0.006153582532265389,2.265501126192948,0.029339881733259077
2025-07-18,-0.007843925927801143,-0.008077735082244408,-2.338091544432652,0.005767204018103378
2025-07-21,-0.010666074220712973,-0.010353559296842452,3.125149238705216,0.037357442571517296
2025-07-22,0.005193769223922784,0.004702055495074742,-4.917137288480422,-0.011578139361267947
2025-07-23,0.015742312403419723,0.015677913175575542,-0.6439922784418073,-0.017917520011812016
2025-07-24,0.006508490849233439,0.007142126320026865,6.336354707934255,0.04502501299121775
2025-07-25,-0.003936283235858484,-0.003774563162340372,1.6172007351811235,0.06126823973258144
2025-07-28,0.012197001715021027,0.011366322443132848,-8.306792718881795,-0.020848997628075683
2025-07-29,0.009060008795851004,0.009762769941714211,7.027611458632066,0.048781611164661065
2025-07-30,-0.014098109505304657,-0.014277655744264317,-1.7954623895966026,0.030561357583680504
2025-07-31,-0.005729654301596443,-0.005360464138689625,3.691901629068184,0.0677044740439614
2025-08-01,-0.017820439484932615,-0.018575918142229586,-7.554786572969707,-0.0092661920684467
2025-08-04,-0.0028207716068843203,-0.002219780718754838,6.009908881294823,0.0509973174440681
2025-08-05,0.0012417083343005952,0.0012880340604035645,0.46325726102969256,0.0556265044420412
2025-08-06,-0.009549474707237549,-0.009238694173535844,3.1078053370170444,0.0870216526204004
2025-08-07,-0.0035348875761952447,-0.0038952101460627553,-3.6032256986751054,0.05083010672219945
2025-08-08,0.006345215153041872,0.0063989476942123424,0.5373254117047033,0.05617219536822038
2025-08-11,-0.008000509525117105,-0.008006624204152102,-0.061146790349964064,0.05555544971027615
2025-08-12,0.0052243209381068745,0.004866504032775776,-3.5781690533109867,0.019939947312952455
2025-08-13,0.01188936985333755,0.011575616604070138,-3.137532492674122,-0.011072910500287136
2025-08-14,-0.000977958825078118,-0.000934151977129094,0.43806847949023897,-0.006688422926370841
2025-08-15,-0.00016162443751066569,0.0,1.6162443751066569,0.009475552305504564
2025-08-18,-0.005426559599529868,-0.005960660705944698,-5.341011064148304,-0.04423106137898536
2025-08-19,0.00030160575634918807,0.0003527023959528641,0.5109663960367605,-0.03912519743517473
2025-08-20,0.008533671051307756,0.008345179172615014,-1.8849187869274253,-0.05780758120494944
2025-08-21,0.006905068251485513,0.006877106454295623,-0.27961797189890447,-0.06058298020058528
2025-08-22,0.02063712243324667,0.020375102767600906,-2.6201966564576296,-0.08623959414965077
2025-08-25,0.002668275871116954,0.0026095213970311892,-0.5875447408576484,-0.09209435248583864
2025-08-26,-0.00208660591143095,-0.0015841075747388134,5.024983366921365,-0.04178582199846348
2025-08-27,0.0115774407225544,0.011220568399778585,-3.5687232277581415,-0.07704987459410395
2025-08-28,0.007143166317032268,0.007621550660848797,4.783843438165292,-0.029587332498171026
2025-08-29,0.0050999894753622765,0.005450629951791797,3.506404764295201,0.005288474380393815
2025-09-02,0.002212905130894338,0.0014381715481728286,-7.747335827215096,-0.07201790935722485
2025-09-03,-0.022542379892683373,-0.022425992166077324,1.1638772660604868,-0.060119295626448466
2025-09-04,0.006333286482936851,0.006667450800701413,3.3416431776456257,-0.026933131060880022
2025-09-05,-0.01964423184274222,-0.01930853929847487,3.3569254426735196,0.007299556974937893
2025-09-08,-0.002212116491566385,-0.002289354322293269,-0.7723783072688395,-0.0004419149373657838
2025-09-09,0.005037037929823018,0.004818747941491841,-2.182899883311773,-0.022161415357435654
2025-09-10,0.017925640278433352,0.017469718585542138,-4.5592169289121465,-0.06694078195896846
2025-09-11,-0.00026913418633822683,0.00022433350172335054,4.934676880615774,-0.01761377068068004
2025-09-12,-0.00609233439918766,-0.005946284838588944,1.4604956059871554,-0.002921879188355625
2025-09-15,-0.0037229800014031422,-0.0033859705405556717,3.370094608474705,0.030904015324262346
2025-09-16,0.017396023384065762,0.016760980070609888,-6.350433134558742,-0.03153377219783371
2025-09-17,0.0028233026620985147,0.0023391064707918297,-4.84196191306685,-0.07980184741086527
2025-09-18,-0.003539020213584765,-0.0031115304267671506,4.274897868176142,-0.03693527754660142
2025-09-19,-0.013023180586801186,-0.01326501654981005,-2.418359630088629,-0.061428926786355476
2025-09-22,-0.001256740130288092,-0.0011506512373167244,1.060888929713677,-0.050813213222822284
2025-09-23,0.017482085510283518,0.017223685289949886,-2.584002203336322,-0.07619635485811571
2025-09-24,0.013023147357727138,0.013007370729702705,-0.15776628024433137,-0.0777525489934594
2025-09-25,0.008785831635225172,0.008966149953912428,1.803183186872559,-0.059891660096345056
2025-09-26,0.00991705386826025,0.009215610629090154,-7.014432391700964,-0.12930559171421274
2025-09-29,-0.01856716973174677,-0.018371628192883627,1.9554153886314207,-0.10940726686748947
2025-09-30,-0.010797393473502837,-0.01063121706737602,1.6617640612681672,-0.09262661991330523
2025-10-01,0.0002110796624272826,0.0,-2.110796624272826,-0.11371058416432822
2025-10-02,-0.010649980707548412,-0.010073841601204392,5.761391063440202,-0.05554269979796134
2025-10-03,0.0056662384134522625,0.005314327400917973,-3.5191101253428947,-0.09051608741131867
2025-10-06,0.0048371002840510435,0.004948804188138034,1.117039040869905,-0.07940953152757446
2025-10-07,0.0010282908434056104,0.0015669209610251755,5.386301176195651,-0.025644578140215923
2025-10-08,-0.005832912092121223,-0.005810712606819646,0.22199485301577226,-0.023412177509862797
