Date,etf,replicated
2025-07-01,544.3682250976562,544.1127711154064
2025-07-02,548.159912109375,548.1489324105002
2025-07-03,553.553955078125,553.6467323729929
2025-07-07,549.3840942382812,549.2676448120649
2025-07-08,549.6926879882812,549.6729834444916
2025-07-09,553.5838623046875,553.6265937141665
2025-07-10,552.7877197265625,552.7580372649677
2025-07-11,551.5435791015625,551.5968801798989
2025-07-14,553.5440063476562,553.3879567607985
2025-07-15,554.051513671875,554.0715287522839
2025-07-16,554.6188354492188,554.6867910715453
2025-07-17,559.107177734375,558.8180478459901
2025-07-18,558.56982421875,558.4409612609761
2025-07-21,561.4658813476562,561.206921464124
2025-07-22,558.5598754882812,558.3233625292984
2025-07-23,561.1075439453125,560.7540922887172
2025-07-24,562.3018798828125,562.1639570517752
2025-07-25,563.6553344726562,563.451794679794
2025-07-28,565.4168090820312,565.5470056842001
2025-07-29,564.541015625,564.38978445039
2025-07-30,565.2974853515625,565.2246277765105
2025-07-31,562.3018798828125,562.1802459356338
2025-08-01,551.2251586914062,551.0689884745677
2025-08-04,561.3961791992188,561.3743304188476
2025-08-05,557.5845336914062,557.2856282052217
2025-08-06,564.6007690429688,564.79909076999
2025-08-07,566.5115356445312,566.6020174990073
2025-08-08,571.7960815429688,572.0274672496397
2025-08-11,570.1041870117188,570.0324696603022
2025-08-12,577.2697143554688,577.7072032588776
2025-08-13,577.558349609375,577.960935218807
2025-08-14,577.1105346679688,577.5947163394634
2025-08-15,574.57275390625,574.6879094947844
2025-08-18,574.3438110351562,574.763564052917
2025-08-19,566.5513916015625,566.703962660998
2025-08-20,563.1876220703125,563.3974444396075
2025-08-21,560.5801391601562,560.8800327863318
2025-08-22,569.2284545898438,569.5710903532448
2025-08-25,567.5863647460938,567.8249076480793
2025-08-26,569.8654174804688,570.287996070069
2025-08-27,570.7412109375,571.2727918097331
2025-08-28,574.31396484375,574.5883426263985
2025-08-29,567.666015625,567.6209376302197
2025-09-02,562.908935546875,563.147343936843
2025-09-03,567.337646484375,567.6641683445883
2025-09-04,572.4728393554688,573.0162153747083
2025-09-05,573.298828125,573.6204269290481
2025-09-08,576.0953369140625,576.3385668504534
2025-09-09,577.7276000976562,578.2247475180335
2025-09-10,577.9166870117188,578.7029677401729
2025-09-11,581.2803955078125,582.120354300069
2025-09-12,583.8480224609375,584.5699178256466
2025-09-15,588.843994140625,589.5711171239832
2025-09-16,588.346435546875,589.1047790206601
2025-09-17,587.1720581054688,587.8791680828153
2025-09-18,592.466552734375,593.6017252902931
2025-09-19,596.4771728515625,597.7467622590528
2025-09-22,600.0083618164062,601.116146001619
2025-09-23,596.02294921875,596.7082368632197
2025-09-24,593.9305419921875,594.9090347996756
2025-09-25,591.3699340820312,592.3161341741567
2025-09-26,593.801025390625,594.7168068086822
2025-09-29,596.5509643554688,597.2626028008389
2025-09-30,598.18505859375,598.9569131325179
2025-10-01,601.0545043945312,601.9378732879736
2025-10-02,603.5254516601562,604.1787450978495
2025-10-03,600.9848022460938,601.6315061713761
2025-10-06,605.498291015625,606.3319706832892
2025-10-07,602.3099365234375,602.9692417614945
2025-10-08,609.2147827148438,610.1829625584649
2025-10-09,608.4774169921875,609.2564744465551
2025-10-10,587.3546142578125,587.9277537573565
2025-10-13,599.8190307617188,600.7867485850137
2025-10-14,595.8236083984375,596.6293811933377
2025-10-15,600.0281982421875,600.6658633239317
2025-10-16,597.8063354492188,598.5241552778217
2025-10-17,601.7320556640625,602.436935138847
2025-10-20,609.3142700195312,610.2967997852777
2025-10-21,609.1549682617188,609.9596782414064
2025-10-22,603.286376953125,603.919036607727
2025-10-23,608.3578491210938,609.2347266591948
2025-10-24,614.8540649414062,615.5794976721104
2025-10-27,625.8041381835938,626.8592065292327
2025-10-28,630.6165771484375,631.508025760179
2025-10-29,633.4562377929688,634.1322497485684
2025-10-30,623.7715454101562,624.7651518653611
2025-10-31,626.7805786132812,627.8470504265532
2025-11-03,629.7796020507812,630.6434938888477
2025-11-04,616.996337890625,617.5677042163917
2025-11-05,621.01171875,622.0326132530558
2025-11-06,609.4439086914062,610.1245450912132
2025-11-07,607.5209350585938,608.4111240777052
2025-11-10,620.9618530273438,621.9142270410114
2025-11-11,619.307861328125,620.0124665531519
2025-11-12,618.8196411132812,619.6288908097844
2025-11-13,606.1858520507812,606.9000256631548
2025-11-14,606.6441040039062,607.3358683060311
2025-11-17,601.4630737304688,602.2747332379055
2025-11-18,594.1397705078125,595.0531951547697
2025-11-19,597.6868896484375,598.4010046433569
2025-11-20,583.5385131835938,584.2438991537193
2025-11-21,587.9224853515625,588.8035319339577
2025-11-24,602.9575805664062,604.2357792111166
2025-11-25,606.6740112304688,607.7567446991421
2025-11-26,612.034423828125,613.1119224223171
2025-11-28,616.996337890625,617.9580630119017
2025-12-01,614.923828125,615.7074734005074
2025-12-02,619.736328125,620.8942452146002
2025-12-03,621.2507934570312,622.1677052962556
2025-12-04,620.6729125976562,621.5900896122163
2025-12-05,623.20361328125,624.3423029455167
